pack_id,pack_name,pack_round_type,pack_sort_order,question_id,question_round_type,answer_type,question_text,option_a,option_b,option_c,option_d,answer_index,answer_text,accepted_answers,explanation,audio_path,image_path
modern-260215,Modern Musicals,mixed,9999,modern-260215-001,general,mcq,Which musical is subtitled 'The Untold Story of the Witches of Oz'?,Frozen,Matilda the Musical,Heathers: The Musical,Wicked,3.0,Wicked,"[""Wicked""]",Wicked's full title is 'Wicked: The Untold Story of the Witches of Oz'.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-002,general,mcq,Which musical follows the life of Alexander Hamilton through rap and sung-through storytelling?,The Book of Mormon,Come From Away,Hamilton,Dear Evan Hansen,2.0,Hamilton,"[""Hamilton""]","Hamilton is a biographical musical about Alexander Hamilton, written by Lin-Manuel Miranda.",,
modern-260215,Modern Musicals,mixed,9999,modern-260215-003,general,mcq,"In Six, the wives of Henry VIII present their stories in what style?",A courtroom drama,A backstage rehearsal,A Victorian operetta,A pop-concert competition,3.0,A pop-concert competition,"[""A pop-concert competition"", ""pop concert"", ""concert competition""]",Six frames the six queens as pop stars competing in a concert format.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-004,general,mcq,"In The Book of Mormon, the main characters are missionaries of which church?",The Church of England,The Catholic Church,The Church of Jesus Christ of Latter-day Saints,The Salvation Army,2.0,The Church of Jesus Christ of Latter-day Saints,"[""The Church of Jesus Christ of Latter-day Saints"", ""LDS Church"", ""Mormon Church"", ""Mormons""]","The show follows Mormon missionaries, formally the Church of Jesus Christ of Latter-day Saints.",,
modern-260215,Modern Musicals,mixed,9999,modern-260215-005,general,mcq,"In Matilda the Musical, what is the name of the terrifying headteacher?",Miss Honey,Mrs Wormwood,Madame Morrible,Miss Trunchbull,3.0,Miss Trunchbull,"[""Miss Trunchbull"", ""Agatha Trunchbull"", ""Trunchbull""]",Miss Trunchbull runs Matilda's school with fear and cruelty.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-006,general,mcq,Dear Evan Hansen begins with a letter that Evan writes addressed to whom?,His mother,Zoe Murphy,Connor Murphy,Himself,3.0,Himself,"[""himself"", ""Evan"", ""Evan Hansen""]",Evan writes a letter to himself that starts with the words 'Dear Evan Hansen'.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-007,general,mcq,Come From Away is set in which Newfoundland town that welcomed diverted planes after 9/11?,St John's,Halifax,Gander,St Andrews,2.0,Gander,"[""Gander""]","The musical focuses on Gander, Newfoundland, and the people who hosted stranded passengers.",,
modern-260215,Modern Musicals,mixed,9999,modern-260215-008,general,mcq,Everybody's Talking About Jamie is inspired by which TV documentary?,Paris Is Burning,Drag Race UK,Jamie: Drag Queen at 16,The Queen of Versailles,2.0,Jamie: Drag Queen at 16,"[""Jamie: Drag Queen at 16"", ""Jamie Drag Queen at 16""]",The musical was inspired by the 2011 documentary 'Jamie: Drag Queen at 16'.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-009,general,mcq,"In Kinky Boots, Charlie inherits what type of business?",A shoe factory,A theatre,A record shop,A bakery,0.0,A shoe factory,"[""A shoe factory"", ""shoe factory"", ""factory""]",Charlie takes over a struggling shoe factory and reinvents it with high-heeled boots.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-010,general,mcq,Tina: The Tina Turner Musical tells the story of which performer?,Madonna,Whitney Houston,Tina Turner,Dolly Parton,2.0,Tina Turner,"[""Tina Turner"", ""Anna Mae Bullock"", ""Anna Mae""]",The show is a biography musical about the life and career of Tina Turner.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-011,general,mcq,Moulin Rouge! The Musical is set in which part of Paris?,La Défense,Le Marais,Saint-Germain-des-Prés,Montmartre,3.0,Montmartre,"[""Montmartre""]","The story centres on the Moulin Rouge in Montmartre, Paris.",,
modern-260215,Modern Musicals,mixed,9999,modern-260215-012,general,mcq,"In Back to the Future: The Musical, time travel happens in which car model?",A Volkswagen Beetle,A Mini Cooper,A Mustang,A DeLorean,3.0,A DeLorean,"[""DeLorean"", ""De Lorean"", ""DMC DeLorean"", ""DMC-12""]",The story uses Doc Brown's DeLorean time machine from the film.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-013,general,mcq,Operation Mincemeat is based on a WWII deception plan run by which country?,Germany,The United States,The United Kingdom,France,2.0,The United Kingdom,"[""United Kingdom"", ""UK"", ""Britain"", ""Great Britain""]",The real Operation Mincemeat was a British deception plan during WWII.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-014,general,mcq,Heathers: The Musical is based on a film released in which decade?,The 1960s,The 1990s,The 1950s,The 1980s,3.0,The 1980s,"[""1980s"", ""the 1980s"", ""80s""]",Heathers is adapted from the 1989 film 'Heathers'.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-015,general,mcq,Waitress is based on a film written and directed by which filmmaker?,Adrienne Shelly,Greta Gerwig,Sofia Coppola,Nora Ephron,0.0,Adrienne Shelly,"[""Adrienne Shelly"", ""Shelly""]",Waitress began as the 2007 film written and directed by Adrienne Shelly.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-016,general,mcq,"In Frozen, what is the name of the snowman who dreams of summer?",Hans,Olaf,Kristoff,Sven,1.0,Olaf,"[""Olaf""]",Olaf is the living snowman created by Elsa's magic.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-017,general,mcq,"In Aladdin, what object does Aladdin use to summon the Genie?",A magic mirror,A magic carpet,A magic ring,A magic lamp,3.0,A magic lamp,"[""magic lamp"", ""a magic lamp"", ""lamp""]",Aladdin releases the Genie by rubbing a magic lamp.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-018,general,mcq,The Prince of Egypt musical retells a story from which biblical book?,Genesis,Revelation,Exodus,Leviticus,2.0,Exodus,"[""Exodus"", ""Book of Exodus""]",The story of Moses and the Exodus forms the core of The Prince of Egypt.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-019,general,mcq,Who directed the original West End production of Charlie and the Chocolate Factory (2013)?,Jamie Lloyd,Trevor Nunn,Matthew Warchus,Sam Mendes,3.0,Sam Mendes,"[""Sam Mendes"", ""Mendes""]",The West End premiere at Theatre Royal Drury Lane was directed by Sam Mendes.,,
